"id","data_format","cases","access","file_name","submitter_id","data_category","type","platform","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"81c1c24c-3e3f-4915-8853-46e8a7c82ba1","TXT","TCGA-5L-AAT1-01A-12D-A41Q-05","open","071a05c1-f9df-4e68-b73e-8f6716d75d52.methylation_array.sesame.level3betas.txt","a0e50623-6b7c-4319-bce9-c1617786bb53","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13012108,"2023-07-14T13:23:36.689056-05:00","62722caea98361386e2b44b80c6ed991","2023-07-18T10:27:28.961383-05:00","81c1c24c-3e3f-4915-8853-46e8a7c82ba1","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","7ce2c970-421f-407a-880e-3ea0f766af79","released","071a05c1-f9df-4e68-b73e-8f6716d75d52","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-5L-AAT1","TCGA-5L-AAT1-01A"
"c53cc045-bced-4c5f-97e7-b17ab835ef23","TXT","TCGA-AR-A2LR-01A-12D-A18O-05","open","d8c6fdeb-4aba-4a11-b62e-d587dadbcc62.methylation_array.sesame.level3betas.txt","df52d70d-e90e-42a3-9f24-87dccf041d23","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13173194,"2023-07-14T13:30:18.865270-05:00","3a55b4ddeedbc28d988f36c7c66d4d5d","2023-07-18T10:27:18.925608-05:00","c53cc045-bced-4c5f-97e7-b17ab835ef23","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","af5ef362-8de1-49e5-b6f2-ad119111001a","released","d8c6fdeb-4aba-4a11-b62e-d587dadbcc62","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-AR-A2LR","TCGA-AR-A2LR-01A"
"6182d009-5001-4987-b5b0-c9def8d788b5","TXT","TCGA-B6-A1KC-01B-11D-A161-05","open","ffc8fa8f-f6f7-4b8a-9773-b29dc0a60410.methylation_array.sesame.level3betas.txt","51f0135b-a7cc-4c11-aa76-173b23a4e79f","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",12880399,"2023-07-14T13:11:46.187521-05:00","7bea13bdff9c541ec822a7aa31344b70","2023-07-18T10:25:59.548472-05:00","6182d009-5001-4987-b5b0-c9def8d788b5","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","5d0c928e-c697-414f-846c-91e90963f2f5","released","ffc8fa8f-f6f7-4b8a-9773-b29dc0a60410","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-B6-A1KC","TCGA-B6-A1KC-01B"
"8e48755a-490f-45b4-b1bf-0fbf09485177","TXT","TCGA-AQ-A0Y5-01A-11D-A14N-05","open","27fe0b6c-1b76-400b-a0ef-9405f833c482.methylation_array.sesame.level3betas.txt","cf18608b-51b4-414b-82d0-96684a371758","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13137740,"2023-07-14T13:46:32.898635-05:00","1a443041708f0c4b0a6dfdd4284a0dc7","2023-07-18T10:27:24.508697-05:00","8e48755a-490f-45b4-b1bf-0fbf09485177","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","9cb18d65-8372-4369-aa51-b37eb94674b7","released","27fe0b6c-1b76-400b-a0ef-9405f833c482","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-AQ-A0Y5","TCGA-AQ-A0Y5-01A"
"b04f614a-9de5-4f89-84fc-85509bf524c7","TXT","TCGA-AO-A1KQ-01A-11D-A13K-05","open","a3faa9fb-cbea-4ae5-8bf4-ca9b9f04a55f.methylation_array.sesame.level3betas.txt","d1e2ab9f-b586-4237-9bb1-c76b12d338db","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13174593,"2023-07-14T13:40:08.663737-05:00","2376ef15eb0adccd994626315b49d3f8","2023-07-18T10:27:12.555195-05:00","b04f614a-9de5-4f89-84fc-85509bf524c7","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","077ee532-39e0-47a8-9e96-bfe9ef02903c","released","a3faa9fb-cbea-4ae5-8bf4-ca9b9f04a55f","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-AO-A1KQ","TCGA-AO-A1KQ-01A"
"2cd4820b-b104-4bcd-801c-d19cb0b749ba","TXT","TCGA-D8-A1XU-01A-11D-A14N-05","open","fa1b44dd-3960-4ce1-be3c-2e2e0e7ece66.methylation_array.sesame.level3betas.txt","db7c3a97-1649-4709-aab0-138a4a08e9be","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13141007,"2023-07-14T13:23:51.281924-05:00","84a4b802e9cc1c17e032b9ccb23f4b82","2023-07-18T10:24:43.915951-05:00","2cd4820b-b104-4bcd-801c-d19cb0b749ba","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","577285ad-623b-42c4-b1d3-eeb672a8fe1f","released","fa1b44dd-3960-4ce1-be3c-2e2e0e7ece66","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","9e258094ac9d4febe3721ceba25c1b8dbd1a27f8","Primary Tumor",NA,"TCGA-D8-A1XU","TCGA-D8-A1XU-01A"
"8c295f70-b9a1-4ddc-a77d-115fe53b3c56","TXT","TCGA-A1-A0SN-01A-11D-A145-05","open","88c8a133-1c35-4e23-88d3-042cbca01208.methylation_array.sesame.level3betas.txt","8f35ebc7-0e79-4fea-8e2f-5a6fe63b0895","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13166370,"2023-07-14T13:37:59.182305-05:00","a0bc85f6ec6fea99990c2478f1c7772a","2023-07-18T10:26:00.854677-05:00","8c295f70-b9a1-4ddc-a77d-115fe53b3c56","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","eee3124f-b429-4b3e-8b1e-036535bf3517","released","88c8a133-1c35-4e23-88d3-042cbca01208","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-A1-A0SN","TCGA-A1-A0SN-01A"
"3e507d72-240f-4b9b-9792-8e0da8c63a55","TXT","TCGA-BH-A0W5-01A-11D-A10A-05","open","bbf9988a-7181-4388-b39d-c4327051fed9.methylation_array.sesame.level3betas.txt","da88a3ff-1664-4154-81d3-5f03f3b9f83e","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",12941647,"2023-07-14T13:19:51.856267-05:00","703db912636812a95e945a7241b28d9b","2023-07-18T10:26:09.232904-05:00","3e507d72-240f-4b9b-9792-8e0da8c63a55","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","308a27ec-a813-438f-b179-4894d8d03bd4","released","bbf9988a-7181-4388-b39d-c4327051fed9","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","9e258094ac9d4febe3721ceba25c1b8dbd1a27f8","Primary Tumor",NA,"TCGA-BH-A0W5","TCGA-BH-A0W5-01A"
"ece8e79d-07bc-4435-af2b-5d12577554a6","TXT","TCGA-AO-A124-01A-11D-A10N-05","open","20171ef3-0986-476f-96f8-9d6051835771.methylation_array.sesame.level3betas.txt","b8f3c57b-147f-486a-a418-730e8e3a3b36","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",12879591,"2023-07-14T13:46:29.542970-05:00","c3cca575d92a04d64063e3a2c3e5fac6","2023-07-18T10:26:48.897462-05:00","ece8e79d-07bc-4435-af2b-5d12577554a6","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","c64114bf-f43b-4517-b4a8-ef23bd8322a2","released","20171ef3-0986-476f-96f8-9d6051835771","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-AO-A124","TCGA-AO-A124-01A"
"e14e9d13-002a-4a69-931c-b20d5d3b0988","TXT","TCGA-A7-A6VV-01A-22D-A33F-05","open","4f6114a2-0125-4bf5-8d62-d890fa751ee9.methylation_array.sesame.level3betas.txt","e3a42d9e-af8c-4e75-ad4d-64be0b98d795","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13153504,"2023-07-14T13:20:47.929506-05:00","73a1f42b4865c14fe243a0a85a62f041","2023-07-18T10:24:43.202682-05:00","e14e9d13-002a-4a69-931c-b20d5d3b0988","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","0e5b631b-72ea-4cbf-82ed-1e42f73ed9bf","released","4f6114a2-0125-4bf5-8d62-d890fa751ee9","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","9e258094ac9d4febe3721ceba25c1b8dbd1a27f8","Primary Tumor",NA,"TCGA-A7-A6VV","TCGA-A7-A6VV-01A"
